frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,106625742,14673248,1,1,1
1,10262885,14673248,2,2,2
2,8875948,14673248,3,3,3
3,9992946,14673248,4,4,4
4,9879696,14673248,5,5,5
5,5908677,14673248,6,6,6
6,5750841,14673248,7,7,7
7,6354133,14673248,8,8,8
8,3913655,14673248,9,9,9
9,4260015,14673248,10,10,10
10,4056444,14673248,11,11,11
11,3595874,14673248,12,12,12
12,3971767,14673248,13,13,13
13,4453449,14673248,14,14,14
14,6721818,14673248,15,15,15
15,3962803,14673248,16,16,16
16,3919233,14673248,17,17,17
17,3722472,14673248,18,18,18
18,12108477,14673248,19,19,19
19,7947988,14673248,20,20,20
20,4637051,14673248,21,21,21
21,4101634,14673248,22,22,22
22,3179718,14673248,23,23,23
23,7642042,14673248,24,24,24
24,4906075,14673248,25,25,25
25,4227443,14673248,26,26,26
26,4613316,14673248,27,27,27
27,3594305,14673248,28,28,28
28,3728020,14673248,29,29,29
29,14784560,14673248,30,30,30
30,94923464,24342736,31,31,31
31,29598021,26439976,32,32,32
