frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,159740763,18661432,1,1,1
1,5210371,18661432,2,2,2
2,3351340,18661432,3,3,3
3,2720889,18661432,4,4,4
4,3845434,18661432,5,5,5
5,2897109,18661432,6,6,6
6,2963960,18661432,7,7,7
7,3414495,18661432,8,8,8
8,3170391,18661432,9,9,9
9,2274919,18661432,10,10,10
10,5939302,18661432,11,11,11
11,6069226,18661432,12,12,12
12,2839470,18661432,13,13,13
13,2591889,18661432,14,14,14
14,2689580,18661432,15,15,15
15,2756803,18661432,16,16,16
16,2602116,18661432,17,17,17
17,7184243,18661432,18,18,18
18,3032718,18661432,19,19,19
19,1910145,18995224,20,20,20
20,2121717,18995224,21,21,21
21,2874828,18995224,22,22,22
22,2958721,18995224,23,23,23
23,2522232,18995224,24,24,24
24,2438330,18995224,25,25,25
25,2729227,18995224,26,26,26
26,2790107,18995224,27,27,27
27,2506485,18995224,28,28,28
28,5452563,18995224,29,29,29
29,2851578,18995224,30,30,30
30,59857108,27658208,31,31,31
31,33214744,15121664,32,32,32
