frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,103751706,15035128,1,1,1
1,93278789,15035128,2,2,2
2,9245603,15035128,3,3,3
3,18879086,15035128,4,4,4
4,14661273,15035128,5,5,5
5,11022370,15035128,6,6,6
6,8262708,15035128,7,7,7
7,10923991,15035128,8,8,8
8,8328450,15035128,9,9,9
9,17662610,15035128,10,10,10
10,9770244,15035128,11,11,11
11,9271309,15035128,12,12,12
12,7842829,15035128,13,13,13
13,8518610,15035128,14,14,14
14,15666564,15035128,15,15,15
15,10125749,15035128,16,16,16
16,10916552,15035128,17,17,17
17,22565499,15035128,18,18,18
18,14284436,15035128,19,19,19
19,13226930,15035128,20,20,20
20,16649861,15035128,21,21,21
21,14532698,15035128,22,22,22
22,10327068,15035128,23,23,23
23,8862574,15035128,24,24,24
24,8933194,15035128,25,25,25
25,16709938,15035128,26,26,26
26,7211703,15035128,27,27,27
27,7650837,15035128,28,28,28
28,14609962,15035128,29,29,29
29,9168722,15035128,30,30,30
30,116363048,24407912,31,31,31
31,52324583,26937440,32,32,32
