frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,170559466,18709384,1,1,1
1,93988398,18709384,2,2,2
2,7011728,18709384,3,3,3
3,7005042,18709384,4,4,4
4,7064779,18709384,5,5,5
5,7325065,19043176,6,6,6
6,6700670,19043176,7,7,7
7,6555840,19043176,8,8,8
8,7143085,19043176,9,9,9
9,8388780,19043176,10,10,10
10,11079048,19043176,11,11,11
11,7329293,19043176,12,12,12
12,9304493,19043176,13,13,13
13,6745204,19043176,14,14,14
14,6279034,19043176,15,15,15
15,6702494,19043176,16,16,16
16,6846388,19043176,17,17,17
17,6312180,19043176,18,18,18
18,6821126,19043176,19,19,19
19,7804534,19043176,20,20,20
20,7247147,19043176,21,21,21
21,8661437,19043176,22,22,22
22,11184545,19043176,23,23,23
23,9955222,19043176,24,24,24
24,7288896,19043176,25,25,25
25,8820857,19043176,26,26,26
26,6636836,19043176,27,27,27
27,7101799,19043176,28,28,28
28,7958043,19043176,29,29,29
29,7167099,19043176,30,30,30
30,66541176,27706200,31,31,31
31,35285700,15071984,32,32,32
