frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,76225369,14670960,1,1,2
1,54714514,14670960,2,2,4
2,3547985,14670960,3,3,6
3,3281394,14670960,4,4,8
4,3246572,14670960,5,5,10
5,3351693,14670960,6,6,12
6,3301226,14670960,7,7,14
7,3164441,14670960,8,8,16
8,4288901,14670960,9,9,18
9,3893898,14670960,10,10,20
10,3731413,14670960,11,11,22
11,3320995,14670960,12,12,24
12,2969106,14670960,13,13,26
13,3534581,14670960,14,14,28
14,3111965,14670960,15,15,30
15,3390761,14670960,16,16,32
16,4172332,14670960,17,17,34
17,5616957,14670960,18,18,36
18,3322508,14670960,19,19,38
19,6848640,14670960,20,20,40
20,3989787,14670960,21,21,42
21,3876871,14670960,22,22,44
22,3586978,14670960,23,23,46
23,3916557,14670960,24,24,48
24,3572980,14670960,25,25,50
25,2679917,14670960,26,26,52
26,3300273,15004888,27,27,54
27,11428868,15004888,28,28,56
28,3622575,15004888,29,29,58
29,2738662,15004888,30,30,60
30,80306579,24370168,31,31,62
31,32234009,26336344,32,32,64
