frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,150715492,18975360,1,1,2
1,4288171,18975360,2,2,4
2,2504894,18975360,3,3,6
3,2407432,18975360,4,4,8
4,2462626,18975360,5,5,10
5,2578802,18975360,6,6,12
6,2328893,18975360,7,7,14
7,2520913,18975360,8,8,16
8,3399556,18975360,9,9,18
9,2367352,18975360,10,10,20
10,2554786,18975360,11,11,22
11,2486929,18975360,12,12,24
12,4719985,18975360,13,13,26
13,2277591,18975360,14,14,28
14,2806888,18975360,15,15,30
15,2406987,18975360,16,16,32
16,2195599,18975360,17,17,34
17,2465176,18975360,18,18,36
18,2235390,18975360,19,19,38
19,2424185,18975360,20,20,40
20,3264674,18975360,21,21,42
21,2470499,18975360,22,22,44
22,2794415,18975360,23,23,46
23,3442399,18975360,24,24,48
24,2782291,18975360,25,25,50
25,2870746,18975360,26,26,52
26,3309017,18975360,27,27,54
27,2462744,18975360,28,28,56
28,2942182,18975360,29,29,58
29,2806160,18975360,30,30,60
30,59423970,27712992,31,31,62
31,28599229,15133152,32,32,64
