frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,86323647,14678984,1,1,2
1,87408598,14678984,2,2,4
2,7216957,14678984,3,3,6
3,7228647,14678984,4,4,8
4,8822719,14678984,5,5,10
5,7111156,14678984,6,6,12
6,7076672,14678984,7,7,14
7,7273109,14678984,8,8,16
8,7357741,14678984,9,9,18
9,6750860,14678984,10,10,20
10,8920631,14678984,11,11,22
11,6885717,14678984,12,12,24
12,6586161,14678984,13,13,26
13,6652745,15012904,14,14,28
14,6910395,15012904,15,15,30
15,6456147,15012904,16,16,32
16,6906370,15121976,17,17,34
17,6424687,15121976,18,18,36
18,9985715,15121976,19,19,38
19,7315794,15121976,20,20,40
20,7217046,15121976,21,21,42
21,6909266,15121976,22,22,44
22,6740764,15121976,23,23,46
23,7013810,15121976,24,24,48
24,6647224,15121976,25,25,50
25,6557468,15121976,26,26,52
26,6634831,15121976,27,27,54
27,6579803,15121976,28,28,56
28,6602492,15121976,29,29,58
29,6818822,15121976,30,30,60
30,80845034,24379200,31,31,62
31,34307716,27075688,32,32,64
