frame,tick_ns,heap_used_bytes,updates,draws,scene_passes
0,161727793,18741336,1,1,2
1,89202204,18741336,2,2,4
2,8472853,18741336,3,3,6
3,7093678,18741336,4,4,8
4,8759395,18741336,5,5,10
5,7147597,18741336,6,6,12
6,6368033,18741336,7,7,14
7,6708320,18741336,8,8,16
8,6873967,18741336,9,9,18
9,7601005,18741336,10,10,20
10,8035400,18741336,11,11,22
11,6771369,18741336,12,12,24
12,10002689,19075280,13,13,26
13,6210175,19075280,14,14,28
14,6395440,19075280,15,15,30
15,6406459,19075280,16,16,32
16,6393591,19075280,17,17,34
17,6776096,19075280,18,18,36
18,6275198,19075280,19,19,38
19,6136910,19075280,20,20,40
20,6340124,19075280,21,21,42
21,7357865,19075280,22,22,44
22,7019400,19075280,23,23,46
23,6894825,19075280,24,24,48
24,7732427,19075280,25,25,50
25,7687493,19075280,26,26,52
26,6670566,19075280,27,27,54
27,6949216,19075280,28,28,56
28,6762001,19075280,29,29,58
29,7059517,19075280,30,30,60
30,64002003,27717376,31,31,62
31,37754412,15129480,32,32,64
